textKey,en_EN,es_ES
plugincashregister.word.cashregister,Cash Register,Caja
plugincashregister.word.products,Products,Productos
plugincashregister.title.createnewproduct,Create new product,Crear un producto nuevo
plugincashregister.title.modifyproduct,Modify Product,Modificar producto
plugincashregister.word.save,Save,Guardar
plugincashregister.textblock.deleteproduct,Are you sure you want to delete this product?\nThis action cannot be undone. The product will be permanently disable or removed from the db. No data will be lost.\nConsider disabling the product instead.,¿Está seguro de que desea eliminar este producto?\nEsta acción no se puede deshacer. El producto será deshabilitado o eliminado permanentemente de la base de datos. No se perderán datos.\nConsidere deshabilitar el producto en su lugar.
plugincashregister.word.generic,Generic,Genérico
plugincashregister.title.imageselector,Image Selector,Selector de imagen
plugincashregister.textblock.resetorder,Are you sure you want to reset the order? This action can't be undone.,¿Estas seguro de que quieres reiniciar la orden actual? Esta acción no puede ser deshecha.
plugincashregister.word.hide,Hide,Ocultar
plugincashregister.word.show,Show,Mostrar
plugincashregister.word.put,Put,Ingresar
plugincashregister.word.get,Get,Retirar
plugincashregister.phrase.closeCashRegister,Close Cash Register,Cerrar Caja
plugincashregister.word.receipt,Receipt,Recibo
plugincashregister.word.receipts,Receipts,Recibos
plugincashregister.word.cash,Cash,Contado
plugincashregister.word.card,Card,Tarjeta
plugincashregister.word.from,From,Desde
plugincashregister.word.to,To,Hasta
plugincashregister.word.at,at,a las
plugincashregister.word.transactions,Transactions,Transacciones
plugincashregister.word.change,Change,Cambio
plugincashregister.phrase.receiptprinterconfig,Printing settings,Ajustes de impresión
plugincashregister.textblock.taxestypeisbeingused,This tax type is being used by some products. You can't delete it.,Este tipos impositivo esta actualemnte siendo usado por algún producto y no puede ser eliminado.
plugincashregister.ticket.footerbye,Thank you for visiting,Gracias por su visita 
plugincashregister.phrase.lastcollected,Last collected:,Último cobrado:
plugincashregister.word.payment,Payment:,Pagado:
plugincashregister.textblock.errorsavingreceipt,An error ocurred while trying to save the receipt in the database.,Ha ocurrido un error al intentar guardar el recibo en la base de datos.
textblock.errorprinting,An error ocurred while trying to communicate with the printing device.,Ha ocurrido un error al intentarse comunicar con el dispositivo de impresión.
plugincashregister.word.tiny,Tiny,Enano
plugincashregister.word.small,Small,Pequeño
plugincashregister.word.medium,Medium,Mediano
plugincashregister.word.large,Large,Grande
plugincashregister.phrase.modifiedreceipt,Rectifies,Rectifica a
plugincashregister.phrase.modifiedbyreceipt,Rectified by,Rectificada por
plugincashregister.phrase.reason,Reason,Razon
plugincashregister.phrase.withdate,with date,con fecha
plugincashregister.phrase.rectificationreceipt,Rectification receipt,Factura rectificativa
plugincashregister.word.splitted,Splitted,Separado
plugincashregister.phrase.cashregisterisclosed,The Cash register is close. Try opening it first.,La Caja está cerrada. Pruebe a abrirla primero.
plugincashregister.phrase.simplifiedreceipt,Simplified Receipt,Factura simplificada
plugincashregister.reqconfig.notaxtypes,Create a tax type,Crea un impuesto
plugincashregister.printer.cashsession.overviewheader,Session overview,Resumen de la sesion
plugincashregister.printer.cashsession.installationname,Cash register,Caja registradora
plugincashregister.printer.cashsession.accountname,Employee,Exmpleado
